[2026-02-26 22:01:59] [INFO    ] discord.client: logging in using static token
[2026-02-26 22:02:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-02-26 22:02:00] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-02-26 22:02:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1476516991450873906', 'username': 'Darin', 'avatar': 'd6730d90a4a9948b0efc5388c8d2026c', 'discriminator': '2871', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '0353a9a07d35140457ec8ca4a96e482e', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-02-26 22:02:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-02-26 22:02:00] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-02-26 22:02:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1476516991450873906', 'name': 'DARIN', 'icon': 'd6730d90a4a9948b0efc5388c8d2026c', 'description': 'The Official Mascot For DeerHack 2026\nCommands : !helloworld  !website !helpme', 'type': None, 'bot': {'id': '1476516991450873906', 'username': 'Darin', 'avatar': 'd6730d90a4a9948b0efc5388c8d2026c', 'discriminator': '2871', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '0353a9a07d35140457ec8ca4a96e482e', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'fd3dfac2910e9446cd46e3fcbcc29dff107cda5c14d27c3c596628d9f754a293', 'flags': 557056, 'tags': ['!helpme', '!helloworld', '!website'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '615911083726733360', 'username': 'mohaaak', 'avatar': '6991cd34e57b1ea73ef837817f40e028', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': 0, 'global_name': 'Mohak', 'avatar_decoration_data': {'asset': 'a_1005898c6acf56a9ac5010baf444f6fd', 'sku_id': '1256321669467865088', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1349849614286585866', 'asset': 'nameplates/nameplates/cityscape/', 'label': 'COLLECTIBLES_NAMEPLATES_CITYSCAPE_A11Y', 'palette': 'violet'}}, 'display_name_styles': None, 'banner_color': '#000000', 'clan': {'identity_guild_id': '804032421678153819', 'identity_enabled': True, 'tag': 'RAWR', 'badge': '96e48a59c34f5fd7ea2b8ee89e7484b3'}, 'primary_guild': {'identity_guild_id': '804032421678153819', 'identity_enabled': True, 'tag': 'RAWR', 'badge': '96e48a59c34f5fd7ea2b8ee89e7484b3'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2278, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-02-26 22:02:01] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-02-26 22:02:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-rtwl",{"micros":0.0}]']}}
[2026-02-26 22:02:01] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-02-26 22:02:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
